"Rec, num","1, Basic fuel injection pulse width (ms)","2, Coolant temperature (??C)","3, Engine speed (RPM)","4, Front oxygen voltage signal (V)","5, Ignition advance angle (Grad kw)","6, Ignition angle delayed degree due to knocking (Grad kw)"
69,"2,84",70,"853,5","0,675","4,5",0
70,"2,87",70,"857,75","0,24","4,5",0
71,"2,84",70,"854,25","0,695",4,0
72,"2,85",71,"848,75","0,61",6,0
73,"2,87",71,"847,25","0,235","4,5",0
74,"2,81",71,"843,5","0,71","4,5",0
75,"2,81",71,"853,5","0,625","4,5",0
76,"2,79",71,843,"0,65",3,0
77,"2,79",71,"855,75","0,61","4,5",0
78,"2,82",71,835,"0,11","4,5",0
79,"2,82",71,"854,75","0,125",3,0
80,"2,79",71,"852,5","0,68","4,5",0
81,"2,84",71,"838,25","0,21","4,5",0
82,"2,82",72,"825,25","0,41","4,5",0
83,"2,78",72,"842,25","0,69","4,5",0
84,"2,73",72,"856,75","0,635",4,0
85,"2,75",72,"848,75","0,685","4,5",0
86,"2,81",72,827,"0,1","4,5",0
87,"2,82",72,"837,5","0,105","4,5",0
88,"2,78",72,854,"0,715","4,5",0
89,"2,81",72,"837,5","0,105","3,5",0
90,"2,73",72,"848,25","0,715","4,5",0
91,"2,79",72,831,"0,185",5,0
92,"2,78",72,"828,25","0,12","4,5",0
93,"2,75",73,"837,5","0,74",4,0
94,"2,73",73,"833,25","0,71","4,5",0
95,"2,81",73,826,"0,1","4,5",0
96,"2,81",73,"841,5","0,11","4,5",0
97,"2,76",73,"843,5","0,73",4,0
98,"2,75",73,"836,5","0,725","4,5",0
99,"2,81",73,"829,5","0,1","4,5",0
100,"2,81",73,"830,25","0,115","4,5",0
101,"2,76",73,"845,25","0,565","4,5",0
102,"2,81",73,"833,5","0,195","4,5",0
103,"2,76",73,"837,5","0,715","4,5",0
104,"2,75",73,"842,25","0,48",4,0
105,"2,7",74,"849,75","0,75",5,0
106,"2,7",74,804,"0,66","4,5",0
107,"2,76",74,"820,75","0,12",4,0
108,"2,76",74,"829,5","0,135","4,5",0
109,"2,72",74,"836,5","0,73",4,0
110,"2,75",74,"828,5","0,59","4,5",0
111,"2,76",74,811,"0,14","4,5",0
112,"2,73",74,"836,5","0,67","4,5",0
113,"2,73",74,827,"0,4",4,0
114,"2,73",74,"843,75","0,715","4,5",0
115,"2,76",74,839,"0,145","4,5",0
116,"2,73",74,"846,75","0,695",3,0
117,"2,78",75,799,"0,33","4,5",0
118,"2,75",75,"831,5","0,13","4,5",0
119,"2,72",75,826,"0,67","4,5",0
120,"2,75",75,"815,25","0,115","4,5",0
121,"2,72",75,"833,5","0,65",4,0
122,"2,72",75,"834,75","0,725","4,5",0
123,"2,7",75,"834,25","0,515","4,5",0
124,"2,7",75,812,"0,675","6,5",0
125,"2,7",75,"810,75","0,375","4,5",0
126,"2,7",75,"825,25","0,675","5,5",0
127,"2,73",75,"816,25","0,13",5,0
128,"2,7",75,"828,25","0,665","4,5",0
129,"2,69",76,830,"0,69","4,5",0
130,"2,69",76,"825,25","0,2","4,5",0
131,"2,7",76,"825,75","0,44","4,5",0
132,"2,7",76,"837,25","0,615",2,0
133,"2,7",76,"823,5","0,675",4,0
134,"2,7",76,"821,75","0,33","3,5",0
135,"2,67",76,"817,25","0,695",3,0
136,"2,66",76,831,"0,67","4,5",0
137,"2,72",76,"807,25","0,145",6,0
138,"2,69",76,"826,5","0,675","4,5",0
139,"2,69",76,"822,25","0,13","4,5",0
140,"2,66",76,"815,75","0,665","4,5",0
141,"2,72",76,"821,75","0,13","4,5",0
142,"2,66",76,812,"0,665","4,5",0
143,"2,72",76,"799,5","0,555","3,5",0
144,"2,69",77,802,"0,615","4,5",0
145,"2,62",77,"807,25","0,21",4,0
146,"2,67",77,"816,25","0,605","3,5",0
147,"2,66",77,"802,5","0,655","4,5",0
148,"2,69",77,832,"0,485","4,5",0
149,"2,66",77,838,"0,46","4,5",0
150,"2,72",77,814,"0,31",5,0
151,"2,62",77,"808,75","0,705",4,0
152,"2,61",77,808,"0,63",5,0
153,"2,59",77,819,"0,635",3,0
154,"2,64",77,"811,25","0,305","4,5",0
155,"2,61",77,"809,75","0,685","4,5",0
156,"2,62",77,"826,75","0,605","4,5",0
157,"2,62",78,"822,75","0,15","4,5",0
158,"2,61",78,"822,25","0,71","4,5",0
159,"2,64",78,"802,25","0,135","4,5",0
160,"2,61",78,"815,75","0,675","4,5",0
161,"2,67",78,"794,25","0,18","5,5",0
162,"2,61",78,"816,5","0,675","3,5",0
163,"2,64",78,"808,25","0,135","4,5",0
164,"2,59",78,"806,5","0,645","4,5",0
165,"2,61",78,"802,5","0,62","4,5",0
166,"2,64",78,817,"0,13","4,5",0
167,"2,61",78,810,"0,69","3,5",0
168,"2,64",78,"806,5","0,21","4,5",0
169,"2,61",78,"819,25","0,565","4,5",0
170,"2,62",78,"796,25","0,67","4,5",0
171,"2,66",78,"797,5","0,165",5,0
172,"2,66",78,"803,5","0,555",5,0
173,"2,59",78,"813,75","0,33","4,5",0
174,"2,64",78,"786,75","0,535","5,5",0
175,"2,7",78,"804,25","0,51","4,5",0
176,"2,64",78,"815,25","0,15","4,5",0
177,"2,62",78,"814,5","0,585","4,5",0
178,"2,66",78,808,"0,165","4,5",0
179,"2,62",78,"829,5","0,7","4,5",0
180,"2,61",78,"805,25","0,56","4,5",0
181,"2,59",78,813,"0,66",3,0
182,"2,61",78,"793,25","0,51","4,5",0
183,"2,7",78,812,"0,16","5,5",0
184,"2,61",78,805,"0,7","4,5",0
185,"2,64",78,"797,25","0,115","4,5",0
186,"2,62",78,"815,25","0,385","4,5",0
187,"2,61",79,807,"0,65","4,5",0
188,"2,59",79,805,"0,66",3,0
189,"2,61",79,"809,75","0,625","4,5",0
190,"2,62",79,"809,75","0,575","4,5",0
191,"2,59",79,"805,5","0,57","3,5",0
192,"2,64",79,"808,25","0,66","6,5",0
193,"2,61",79,"808,25","0,645","4,5",0
194,"2,59",79,817,"0,57","4,5",0
195,"2,61",79,"809,25","0,66","4,5",0
196,"2,61",79,814,"0,39","4,5",0
197,"2,59",79,"815,5","0,56","4,5",0
198,"2,62",79,"822,25","0,66","6,5",0
199,"2,59",79,"818,75","0,67",4,0
200,"2,59",79,"803,5","0,455",5,0
201,"2,53",79,"806,25","0,655","4,5",0
202,"2,62",79,"803,25","0,615",6,0
203,"2,59",79,801,"0,685",4,0
204,"2,61",79,817,"0,12","4,5",0
205,"2,59",79,"804,5","0,545",4,0
206,"2,58",79,"794,25","0,67","4,5",0
207,"2,62",79,"801,25","0,535",5,0
208,"2,58",79,"813,75","0,685","4,5",0
209,"2,66",79,772,"0,215","4,5",0
210,"2,62",79,"812,75","0,64","4,5",0
211,"2,59",79,824,"0,16",4,0
212,"2,62",79,795,"0,545","4,5",0
213,"2,58",79,"815,75","0,7","4,5",0
214,"2,56",79,802,"0,66","4,5",0
215,"2,64",80,"800,25","0,41",6,0
216,"2,62",80,"804,25","0,68","4,5",0
217,"2,61",80,805,"0,195","4,5",0
218,"2,53",80,814,"0,465",3,0
219,"2,61",80,"789,25","0,69","4,5",0
220,"2,59",80,799,"0,615","4,5",0
221,"2,55",80,"806,25","0,645","4,5",0
222,"2,55",80,"797,5","0,67","4,5",0
223,"2,58",80,"802,25","0,5","4,5",0
224,"2,55",80,808,"0,675","4,5",0
225,"2,61",80,795,"0,16",5,0
226,"2,59",80,"815,25","0,7","5,5",0
227,"2,59",80,"790,25","0,655",5,0
228,"2,58",80,"799,5","0,295",4,0
229,"2,58",80,790,"0,67",6,0
230,"2,55",80,"800,25","0,595",4,0
231,"2,55",80,801,"0,315",4,0
232,"2,55",80,"801,25","0,645","4,5",0
233,"2,56",80,"801,5","0,635","4,5",0
234,"2,56",80,803,"0,535","4,5",0
235,"2,58",80,797,"0,14",5,0
236,"2,58",80,791,"0,69","4,5",0
237,"2,59",80,"799,5","0,58","4,5",0
238,"2,52",80,799,"0,63",4,0
239,"2,61",80,"811,75","0,185","5,5",0
240,"2,55",80,"793,5","0,665","4,5",0
241,"2,56",80,"780,75","0,135","4,5",0
242,"2,53",80,"810,25","0,645","4,5",0
243,"2,56",80,"806,25","0,205",3,0
244,"2,53",80,806,"0,675",5,0
245,"2,56",80,"796,5","0,16","4,5",0
246,"2,58",80,"794,25","0,585","4,5",0
247,"2,56",81,"785,25","0,53","4,5",0
248,"2,56",81,"813,75","0,645","4,5",0
249,"2,53",81,"806,25","0,69","4,5",0
250,"2,55",81,"789,75","0,17",4,0
251,"2,56",81,"803,5","0,435","4,5",0
252,"2,62",81,"783,75","0,27",6,0
253,"2,56",81,"821,5","0,635","4,5",0
254,"2,56",81,808,"0,6","4,5",0
255,"2,55",81,"787,5","0,64","4,5",0
256,"2,58",81,803,"0,605","4,5",0
257,"2,55",81,"811,75","0,69","5,5",0
258,"2,55",81,811,"0,665","4,5",0
259,"2,55",81,"801,5","0,365","4,5",0
260,"2,62",81,802,"0,59","4,5",0
261,"2,55",81,805,"0,695","4,5",0
262,"2,56",81,"800,5","0,455",5,0
263,"2,55",81,"801,5","0,695","4,5",0
264,"2,56",81,"801,25","0,195","4,5",0
265,"2,53",81,790,"0,695","4,5",0
266,"2,58",81,"798,5","0,14",6,0
267,"2,53",81,"808,25","0,68","4,5",0
268,"2,59",81,"786,5","0,545",5,0
269,"2,52",81,"815,25","0,685",4,0
270,"2,52",81,"812,75","0,43",4,0
271,"2,53",81,"799,5","0,665","4,5",0
272,"2,55",81,"801,5","0,23","4,5",0
273,"2,53",81,"790,75","0,495",4,0
274,"2,58",81,786,"0,61",5,0
275,"2,53",81,"804,5","0,58","4,5",0
276,"2,56",81,801,"0,275","4,5",0
277,"2,53",81,"803,5","0,71","4,5",0
278,"2,56",81,"777,75","0,135","4,5",0
279,"2,53",81,"809,75","0,635",5,0
280,"2,53",81,818,"0,66",6,0
281,"2,56",81,801,"0,405","4,5",0
282,"2,53",81,802,"0,64",4,0
283,"2,55",81,"809,25","0,14",4,0
284,"2,53",81,"797,5","0,67","4,5",0
285,"2,52",81,797,"0,685","4,5",0
286,"2,56",81,809,"0,61","5,5",0
287,"2,53",81,818,"0,625","4,5",0
288,"2,56",81,790,"0,175","4,5",0
289,"2,53",81,"801,25","0,65",3,0
290,"2,53",81,804,"0,455","4,5",0
291,"2,55",81,805,"0,585","4,5",0
292,"2,56",81,"794,5","0,63","4,5",0
293,"2,58",81,"783,5","0,615","4,5",0
294,"2,52",81,"808,25","0,65","4,5",0
295,"2,55",81,801,"0,22","4,5",0
296,"2,53",81,"799,25","0,69","5,5",0
297,"2,55",81,"792,25","0,415","5,5",0
298,"2,55",82,"815,5","0,65","4,5",0
299,"2,53",81,801,"0,64","4,5",0
300,"2,56",82,"801,25","0,59","5,5",0
301,"2,52",82,"799,25","0,53","4,5",0
302,"2,58",82,"803,25","0,625","4,5",0
303,"2,5",82,"809,75","0,645","2,5",0
304,"2,49",82,"797,5","0,66","4,5",0
305,"2,55",82,"801,5","0,56",5,0
306,"2,5",82,"808,75","0,655","4,5",0
307,"2,59",82,"811,75","0,61","4,5",0
308,"2,52",82,"810,25","0,185",4,0
309,"2,53",82,"803,5","0,56","4,5",0
310,"2,53",82,"789,75","0,215","4,5",0
311,"2,49",82,"805,5","0,67","4,5",0
312,"2,5",82,790,"0,525",5,0
313,"2,52",82,"815,5","0,54","4,5",0
314,"2,49",82,"799,25","0,68",5,0
315,"2,55",82,"785,5","0,535",5,0
316,"2,53",82,"790,25","0,61","4,5",0
317,"2,52",82,799,"0,18","4,5",0
318,"2,5",82,809,"0,645","4,5",0
319,"2,52",82,"801,5","0,625","4,5",0
320,"2,5",82,"807,5","0,65",3,0
321,"2,52",82,"801,5","0,66","4,5",0
322,"2,52",82,"800,5","0,295","4,5",0
323,"2,5",82,"800,5","0,665","3,5",0
324,"2,53",82,"785,25","0,64","4,5",0
325,"2,53",82,"799,25","0,455","5,5",0
326,"2,49",82,"824,5","0,67","4,5",0
327,"2,53",82,"797,25","0,625","4,5",0
328,"2,52",82,"799,25","0,19","4,5",0
329,"2,52",82,"778,75","0,58","5,5",0
330,"2,52",82,806,"0,48","4,5",0
331,"2,49",82,"810,25","0,42","4,5",0
332,"2,5",82,795,"0,365","4,5",0
333,"2,55",82,"789,75","0,35",7,0
334,"2,52",82,"797,5","0,67","4,5",0
335,"2,53",82,"793,5","0,235","4,5",0
336,"2,49",82,"804,25","0,66","4,5",0
337,"2,49",82,"812,5","0,585","4,5",0
338,"2,49",82,"811,75","0,695","4,5",0
339,"2,53",82,"775,25","0,29","4,5",0
340,"2,5",82,"805,25","0,55","4,5",0
341,"2,56",82,777,"0,135",5,0
342,"2,49",82,812,"0,55","4,5",0
343,"2,52",82,"793,5","0,365","4,5",0
344,"2,5",82,"785,25","0,64","4,5",0
345,"2,49",82,809,"0,58",4,0
346,"2,5",82,798,"0,68",5,0
347,"2,53",82,"788,75","0,615",5,0
348,"2,49",82,810,"0,675",5,0
349,"2,47",82,"801,5","0,62","4,5",0
350,"2,46",82,805,"0,67","4,5",0
351,"2,53",82,"773,75","0,3","4,5",0
352,"2,52",82,"799,5","0,565",5,0
353,"2,5",82,804,"0,135","4,5",0
354,"2,53",82,796,"0,195","4,5",0
355,"2,5",82,"789,25","0,655","4,5",0
356,"2,52",82,"803,5","0,15",5,0
357,"2,55",82,"791,75","0,52","4,5",0
358,"2,5",82,"809,25","0,695","4,5",0
359,"2,46",82,"801,25","0,68","3,5",0
360,"2,49",82,"792,25","0,665","5,5",0
361,"2,52",82,"795,5","0,15","5,5",0
362,"2,52",82,"801,5","0,185","4,5",0
363,"2,52",82,"789,75","0,63","6,5",0
364,"2,5",82,806,"0,65","4,5",0
365,"2,52",82,"790,25","0,14","4,5",0
366,"2,52",82,"811,75","0,69","4,5",0
367,"2,52",82,"795,25","0,23","4,5",0
368,"2,46",82,"815,25","0,66","4,5",0
369,"2,52",82,802,"0,185",4,0
370,"2,49",82,793,"0,665","4,5",0
371,"2,49",82,"793,25","0,62","4,5",0
372,"2,49",82,797,"0,375","3,5",0
373,"2,53",82,"800,5","0,615","5,5",0
374,"2,49",82,"801,5","0,585","4,5",0
375,"2,49",82,808,"0,675","4,5",0
376,"2,53",82,776,"0,15","4,5",0
377,"2,52",82,"794,5","0,6","5,5",0
378,"2,5",82,799,"0,145","4,5",0
379,"2,5",82,"796,5","0,675",5,0
380,"2,47",82,"799,25","0,65","4,5",0
381,"2,52",82,"796,5","0,145","4,5",0
382,"2,52",82,"794,5","0,555","4,5",0
383,"2,47",82,"787,75","0,66","3,5",0
384,"2,52",82,"798,5","0,33","4,5",0
385,"2,46",82,"810,75","0,675","4,5",0
386,"2,43",82,"811,75","0,665","3,5",0
387,"2,5",82,"792,5","0,135","4,5",0
388,"2,46",82,"807,5","0,63","4,5",0
389,"2,52",82,"786,75","0,425","4,5",0
390,"2,47",82,805,"0,67","4,5",0
391,"2,49",82,"795,5","0,67","4,5",0
392,"2,49",82,"806,25","0,61","4,5",0
393,"2,46",82,806,"0,655","4,5",0
394,"2,46",82,812,"0,575","4,5",0
395,"2,5",82,"806,25","0,595","4,5",0
396,"2,44",82,"812,5","0,685","4,5",0
397,"2,5",82,"799,5","0,51","4,5",0
398,"2,5",82,"793,25","0,63","4,5",0
399,"2,5",82,804,"0,17","4,5",0
400,"2,52",82,"791,25","0,41",5,0
401,"2,5",82,"796,25","0,22","4,5",0
402,"2,44",82,"814,75","0,69","4,5",0
403,"2,5",82,"779,5","0,62","4,5",0
404,"2,5",82,"801,5","0,535","5,5",0
405,"2,49",82,"807,5","0,16","4,5",0
406,"2,49",82,"782,5","0,675","4,5",0
407,"2,49",82,"787,75","0,58","4,5",0
408,"2,46",82,"822,25","0,465","4,5",0
409,"2,5",82,795,"0,625",5,0
410,"2,47",82,806,"0,59",4,0
411,"2,49",82,806,"0,675","5,5",0
412,"2,53",82,"784,75","0,175","6,5",0
413,"2,46",82,825,"0,67","4,5",0
414,"2,49",82,"803,25","0,145","4,5",0
415,"2,49",82,"794,25","0,635","4,5",0
416,"2,49",82,794,"0,515",5,0
417,"2,49",82,798,"0,66","4,5",0
418,"2,49",82,"783,5","0,44","4,5",0
419,"2,5",82,795,"0,485",5,0
420,"2,44",82,"813,5","0,71","4,5",0
421,"2,47",82,"797,5","0,66","4,5",0
422,"2,5",82,"795,25","0,29",5,0
423,"2,52",83,"779,5","0,32","4,5",0
424,"2,5",82,"802,25","0,26","4,5",0
425,"2,49",83,"794,25","0,665",5,0
426,"2,47",83,794,"0,59","4,5",0
427,"2,52",83,794,"0,63","5,5",0
428,"2,47",83,"800,25","0,685","4,5",0
429,"2,46",83,809,"0,645","4,5",0
430,"2,44",83,807,"0,65","4,5",0
431,"2,5",83,777,"0,335","5,5",0
432,"2,46",83,795,"0,685","4,5",0
433,"2,49",83,"801,25","0,145","4,5",0
434,"2,46",83,799,"0,64","4,5",0
435,"2,46",83,"813,75","0,2","4,5",0
436,"2,49",83,"783,5","0,48","4,5",0
437,"2,47",83,800,"0,345","4,5",0
438,"2,43",83,820,"0,66","4,5",0
439,"2,46",83,"793,5","0,58","4,5",0
440,"2,44",83,"800,5","0,65","4,5",0
441,"2,47",83,"803,25","0,24","4,5",0
442,"2,44",83,"800,25","0,665","4,5",0
443,"2,46",83,"804,25","0,195",4,0
444,"2,47",83,802,"0,62","4,5",0
445,"2,43",83,"814,75","0,205","4,5",0
446,"2,46",83,"805,25","0,68","5,5",0
447,"2,47",83,"798,5","0,18","4,5",0
448,"2,46",83,787,"0,225","4,5",0
449,"2,5",83,"780,75","0,135",6,0
450,"2,43",83,"817,5","0,68","4,5",0
451,"2,47",83,"789,75","0,435","4,5",0
452,"2,49",83,"779,5","0,355","4,5",0
453,"2,44",83,804,"0,705","4,5",0
454,"2,46",83,"787,75","0,67","4,5",0
455,"2,47",83,"781,25","0,15","4,5",0
456,"2,47",83,"799,5","0,655","6,5",0
457,"2,47",83,"789,25","0,465","4,5",0
458,"2,46",83,"801,5","0,25","4,5",0
459,"2,43",83,"802,5","0,625","3,5",0
460,"2,43",83,"800,5","0,255","4,5",0
461,"2,47",83,"790,75","0,68","4,5",0
462,"2,46",83,"797,5","0,31","4,5",0
463,"2,47",83,"794,5","0,625","4,5",0
464,"2,5",83,"785,75","0,325",5,0
465,"2,44",83,812,"0,675","4,5",0
466,"2,46",83,806,"0,15","4,5",0
467,"2,43",83,803,"0,69","4,5",0
468,"2,43",83,780,"0,315","4,5",0
469,"2,47",83,799,"0,135",5,0
470,"2,43",84,"807,5","0,4",4,0
471,"2,49",84,793,"0,605",6,0
472,"2,44",84,"795,5","0,635","4,5",0
473,"2,49",84,803,"0,28","4,5",0
474,"2,43",84,800,"0,66","4,5",0
475,"2,43",84,"821,5","0,615","4,5",0
476,"2,41",84,"786,5","0,675","4,5",0
477,"2,47",84,"785,75","0,145",5,0
478,"2,41",84,"811,75","0,675","4,5",0
479,"2,49",84,"787,5","0,145",5,0
480,"2,41",84,"788,75","0,665","4,5",0
481,"2,46",84,"787,75","0,13",5,0
482,"2,41",84,"791,75","0,67","4,5",0
483,"2,44",84,"792,5","0,115","4,5",0
484,"2,44",84,"785,75","0,43","4,5",0
485,"2,46",84,798,"0,6","4,5",0
486,"2,38",84,"805,25","0,68","4,5",0
487,"2,43",84,805,"0,575","3,5",0
488,"2,41",84,814,"0,6","4,5",0
489,"2,44",84,"792,5","0,14","4,5",0
490,"2,41",84,"818,25","0,7","5,5",0
491,"2,43",84,"793,25","0,455","4,5",0
492,"2,44",84,"797,5","0,205","4,5",0
493,"2,44",84,"799,25","0,54",5,0
494,"2,44",84,800,"0,585","4,5",0
495,"2,44",84,"791,25","0,145","4,5",0
496,"2,44",84,"798,5","0,59","5,5",0
497,"2,41",84,793,"0,335",5,0
498,"2,44",84,"806,25","0,35","4,5",0
499,"2,38",84,"800,5","0,4",3,0
500,"2,44",84,"810,25","0,68","6,5",0
501,"2,4",85,"787,75","0,64","4,5",0
502,"2,43",85,"812,5","0,125","5,5",0
503,"2,46",85,"785,25","0,155",6,0
504,"2,43",85,796,"0,68","4,5",0
505,"2,47",85,786,"0,325","5,5",0
506,"2,46",85,781,"0,21","4,5",0
507,"2,44",85,798,"0,47","5,5",0
508,"2,44",85,792,"0,165","4,5",0
509,"2,43",85,"817,5","0,705","4,5",0
510,"2,47",85,"785,75","0,135","7,5",0
511,"2,49",85,"798,5","0,52",4,0
512,"2,47",85,"807,25","0,125","4,5",0
513,"2,44",85,"815,25","0,31",3,0
514,"2,5",85,"794,25","0,59","4,5",0
515,"2,47",85,"810,25","0,195","4,5",0
516,"2,49",86,"797,5","0,63","4,5",0
517,"2,43",86,"808,25","0,315",3,0
518,"2,5",86,"792,25","0,53","5,5",0
519,"2,46",86,"804,5","0,495","4,5",0
520,"2,5",86,795,"0,62",5,0
521,"2,49",86,"811,25","0,21","4,5",0
522,"2,47",86,"798,25","0,645","4,5",0
523,"2,49",86,"795,5","0,16","4,5",0
524,"2,43",86,811,"0,67","4,5",0
525,"2,46",86,"797,5","0,47","5,5",0
526,"2,47",86,"796,5","0,67","4,5",0
527,"2,46",86,797,"0,495","4,5",0
528,"2,46",86,"815,25","0,585","4,5",0
529,"2,47",86,"800,5","0,67","4,5",0
530,"2,49",86,"789,25","0,47","4,5",0
531,"2,43",86,"814,5","0,67","4,5",0
532,"2,49",86,774,"0,455","4,5",0
533,"2,43",86,"810,75","0,685",3,0
534,"2,47",86,805,"0,305","3,5",0
535,"2,43",86,"811,75","0,675","4,5",0
536,"2,47",86,"795,5","0,39","4,5",0
537,"2,46",86,"806,5","0,69","3,5",0
538,"2,41",86,"810,25","0,645","4,5",0
539,"2,44",86,818,"0,175","4,5",0
540,"2,43",86,813,"0,685",5,0
541,"2,41",86,"801,25","0,585","4,5",0
542,"2,46",86,781,"0,13","4,5",0
543,"2,47",86,"806,25","0,16","4,5",0
544,"2,46",86,"815,25","0,625","4,5",0
545,"2,47",86,"816,25","0,605","4,5",0
546,"2,43",87,"808,25","0,68",4,0
547,"2,49",87,"811,25","0,505","4,5",0
548,"2,47",86,"790,75","0,64","4,5",0
549,"2,47",87,"805,25","0,205",4,0
550,"2,44",87,"813,75","0,69","4,5",0
551,"2,46",87,809,"0,32","4,5",0
552,"2,43",87,820,"0,66","4,5",0
553,"2,46",87,"793,5","0,135","4,5",0
554,"2,43",87,"813,5","0,68","4,5",0
555,"2,44",87,"811,75","0,135","3,5",0
556,"2,41",87,"805,25","0,68","3,5",0
557,"2,44",87,801,"0,595","4,5",0
558,"2,41",87,"816,25","0,675","4,5",0
559,"2,47",87,"783,25","0,295","4,5",0
560,"2,41",87,"812,5","0,665",4,0
561,"2,44",87,"815,75","0,155",4,0
562,"2,41",87,"807,5","0,695","4,5",0
563,"2,44",87,820,"0,155","4,5",0
564,"2,41",87,810,"0,665","4,5",0
565,"2,44",87,808,"0,335","4,5",0
566,"2,43",87,"799,25","0,72","7,5",0
567,"2,44",87,"804,5","0,585","4,5",0
568,"2,49",87,803,"0,125","5,5",0
569,"2,43",87,"808,25","0,545","3,5",0
570,"2,46",88,796,"0,3","4,5",0
571,"2,47",88,"795,5","0,15","2,5",0
572,"2,44",88,799,"0,675","4,5",0
573,"2,46",88,799,"0,565","4,5",0
574,"2,46",88,"818,25","0,44","3,5",0
575,"2,43",88,808,"0,73","4,5",0
576,"2,41",88,804,"0,68","2,5",0
577,"2,44",88,795,"0,28","4,5",0
578,"2,41",88,"817,25","0,665","4,5",0
579,"2,41",88,"805,5","0,655","4,5",0
580,"2,44",88,800,"0,585","4,5",0
581,"2,4",88,"808,75","0,675",3,0
582,"2,41",88,"803,5","0,64","3,5",0
583,"2,43",88,802,"0,185","4,5",0
584,"2,41",88,"801,25","0,5","4,5",0
585,"2,43",88,"814,5","0,25",5,0
586,"2,44",88,804,"0,59","4,5",0
587,"2,44",88,"780,25","0,38","4,5",0
588,"2,43",88,"793,5","0,395","4,5",0
589,"2,47",88,"803,5","0,175","4,5",0
590,"2,4",88,"807,5","0,69","2,5",0
591,"2,46",88,"799,25","0,41","4,5",0
592,"2,43",88,"800,5","0,67",3,0
593,"2,46",88,"809,25","0,15","4,5",0
594,"2,46",88,"809,75","0,175","4,5",0
595,"2,4",88,"811,75","0,69","4,5",0
596,"2,43",88,821,"0,67","4,5",0
597,"2,41",88,"799,25","0,625","4,5",0
598,"2,44",88,"805,25","0,595",4,0
599,"2,41",88,"802,25","0,66","4,5",0
600,"2,43",88,"806,5","0,135","3,5",0
601,"2,43",88,"801,5","0,72","4,5",0
602,"2,44",88,"794,25","0,615",5,0
603,"2,43",88,"810,75","0,15","4,5",0
604,"2,41",88,"812,5","0,64","4,5",0
